Original,New
Biopower,Biopower
Oil-Gas-Steam,Oil-Gas-Steam
dPV,dPV
Gas-CC,Gas-CC
Gas-CT,Gas-CT
Coal,Coal
wind-ofs_2,Wind
wind-ofs_3,Wind
wind-ofs_4,Wind
wind-ofs_5,Wind
wind-ons_1,Wind
wind-ons_2,Wind
wind-ons_3,Wind
wind-ons_4,Wind
wind-ons_5,Wind
wind-ons_6,Wind
wind-ons_7,Wind
wind-ons_8,Wind
wind-ons_9,Wind
wind-ons_10,Wind
pvb1_2,PV-Battery
pvb1_3,PV-Battery
pvb1_4,PV-Battery
pvb1_5,PV-Battery
pvb1_6,PV-Battery
pvb1_7,PV-Battery
ReEDS_pvb1,PV
ReEDS_vre-pvb1,PV
upv_2,PV
upv_3,PV
upv_4,PV
upv_5,PV
upv_6,PV
upv_7,PV
dupv_2,dPV
dupv_3,dPV
dupv_4,dPV
dupv_5,dPV
dupv_6,dPV
dupv_7,dPV
battery_2,Storage
battery_4,Storage
battery_6,Storage
battery_8,Storage
battery_10,Storage
reeds_vre,VRE
csp-ns,CSP
hydND,Hydro
hydUD,Hydro
hydUND,Hydro
hydED,Hydro
hydNPND,Hydro
hydEND,Hydro
ReEDS_hyded,Hydro
ReEDS_hydend,Hydro
CoalOldScr,Coal
Coal-IGCC,Coal
CoalOldUns,Coal
geohydro_pbinary_1,Geothermal
geohydro_pflash_1,Geothermal
geohydro_pflash_2,Geothermal
geohydro_pflash_3,Geothermal
geohydro_pflash_4,Geothermal
undisc_pflash_1,Geothermal
NF-EGS_pflash_5,Geothermal
NF-EGS_pbinary_1,Geothermal
NF-EGS_pbinary_2,Geothermal
NF-EGS_pbinary_3,Geothermal
NF-EGS_pbinary_4,Geothermal
NF-EGS_pbinary_5,Geothermal
ReEDS_can-imports,Net Imports
can-imports,Net Imports
ST_NUCLEAR,Nuclear
ST_COAL,Coal
CC_NATURAL_GAS,Gas-CC
PVe,PV
WT,Wind
CT_NATURAL_GAS,Gas-CT
HY,Hydro
Curtailment,Curtailment
Curtailment,Curtailment
Gas-CC-CCS-F2,Gas-CC CCS
csp2_12,CSP
csp2_10,CSP
geohydro_pflash_6,Geothermal
geohydro_pflash_5,Geothermal
Wind-ofs_1,Wind
CSU_pumpgas-cc-ccs-f2,Cold storage boost
CSU_NGCCgas-cc-ccs-f2,Gas-CC CCS
wind-ofs_1,Wind
ReEDS_re-ct,RE-CT
ReEDS_gas-cc_re-cc,RE-CC
ReEDS_gas-ct_re-ct,RE-CT
ReEDS_re-cc,RE-CC
ReEDS_gas-ct_re-ct,RE-CT
ReEDS_gas-cc-ccs_mod,Gas-CC CCS
ReEDS_beccs_mod,BECCS
ReEDS_gas-cc-ccs_max,Gas-CC CCS
ReEDS_beccs_max,BECCS
